Designator,Mid X,Mid Y,Layer,Rotation
BZ1,15.87,30.96,Top,180.0
C1, 8.39,41.05,Top,180.0
C2,26.85,26.03,Top,180.0
C3,12.43,38.27,Top,0.0
C4,10.37,38.16,Top,270.0
C5,20.23,42.53,Top,90.0
C6,15.32,43.37,Top,180.0
IC1,11.71,42.30,Top,270.0
IC2,16.61,12.75,Top,180.0
J3,10.72,47.75,Top,180.0
LED1,16.14,39.05,Top,270.0
Q1,22.20,31.48,Top,90.0
R1, 8.04,43.70,Top,90.0
R2,24.73,21.92,Top,270.0
R3,24.73,23.82,Top,270.0
R7,17.36,22.76,Top,270.0
R8,14.13,22.77,Top,270.0
R10,10.15,34.66,Top,0.0
R11, 8.11,34.70,Top,0.0
R12,19.51,38.17,Top,180.0
R13,22.57,28.61,Top,270.0
R14,23.83,37.59,Top,90.0
R15,23.88,35.30,Top,270.0
R16, 6.73,25.55,Top,0.0
R17, 8.35,25.55,Top,0.0
SW1, 3.71,24.16,Top,270.0
SW2,29.37,24.19,Top,270.0
